name,scientific_name,family,chemical_content,usability
Adas,Foeniculum vulgare,Aplaceae,"Minyak asiri (oleum foenucul), 50-60% anetol, 20% fenkon, pinen, limonen, dipenten, felandren, metilchavikol, anasaldehid, asam anisat, 12% minyak lemak. Stigmasterin (pada akar dan biji)","Kesehatan jantung, melancarkan ASI, mencegah kanker, mengatasi gangguan menstruasi dan menopause"
Air Kelapa Hijau,Cocos nucifera,Aracaceae,"Vitamin A, Vitamin B1, Vitamin B2, Vitamin B3, Asam Pantotenat, Vitamin B6, Folat, Vitamin C, Vitamin E, Vitamin K, Kalsium, Besi, Magnesium, Fosfor, Kalium, Zink","Mengatasi diare, melancarkan pencernaan, menghidrasi tubuh, detoksifikasi racun."
Asam Jawa,Tamarindus indica,Fabaceae,polifenol,"Memperlancar pencernaan, mengontrol diabetes, mengurangi nyeri,  menjaga kesehatan jantung"
Bawang Merah,Allium cepa,Amaryllidaceae,enzim alliinase,"mengatasi vertigo, bisul, batuk kronis, batuk kering, batuk sesak, disentri, sembelit, insomnia, pilek untuk anak-anak dan bayi, dan kencing manis (diabetes mellitus)."
Bawang Putih,Allium sativum,Alliaceae,"Senyawa belerang allicin (dapat menghasilkan senyawa belerang lain: ajoene, allyl polysulfides, dan vinyldithiin), zat aktif S-allylcysteine","Mengatasi cacingan, menurunkan tekanan darah dan kolesterol, mencegah kanker dan pilek"
Belimbing Wuluh,Averrhoa bilimbi,Oxalidaceae,"saponin, flavonoid, tanin, glukosida, asam sitrat, asam format","mengobati gondongan, infeksi gigitan serangga, penyakit diabetes, tekanan darah, wasir, jerawat, batuk pilek, dan penyakit menular seksual"
Kemangi,Ocimum africanum,Lamiaceae,"Tanin, flavonoid, steroid/tritwrpwnoid, minyak atsiri, asam heksauronat, pentosa, xitosa, asam metil homoanisat, molludistin, asam ursolat","mengatasi insomnia, sakit kepala, melancarkan sirkulasi darah, menurunkan kadar gula darah, menyembuhkan luka dan infeksi, anti radang, "
Brotowali,Tinospora cordifolia,Menispermaceae,"pada kulit batang: alkaloid dan damar, pada akar: berberin dan kolumbin, pikroretin","obat sakit perut, rheumatic arthritis dan sendi, demam, kencing manis, malaria, memar, kudis, dan luka."
Buah Maja,Aegle marmelos,Rutaceae,"minyak asiri, pektin, saponin, tanin, dan2-furocoumanrins-psoralen","mengobati diare, disentri, darah tinggi, mual dan muntah berlebihan saat kehamilan, anemia, asma"
Buah Pisang Batu,Musa Balbisiana,Musaceae,"steroid/triterpenoid, glikosida, flavonoid, saponin, tanin","meredakan demam, mengatasi maag, wasir, dan diare"
Cabe Jawa,Piper retrofractum,Piperaceae,"asam amino bebas, damar, minyak atsiri, beberapa jenis alkaloid seperti piperine, piperidin, piperatin, piperlonguminine, ?-sitosterol, sylvatine, guineensine, piperlongumine, filfiline, sitosterol, methyl piperate, minyak atsiri (terpenoid), n-oktanol, linalool, terpinil asetat, sitronelil asetat, sitral,  alkaloid, saponin, polifenol, dan resin (kavisin)","mengatasi sakit paru-paru, batuk, sakit lambung, ayan, gangguan pencernaan, sakit gigi, diare, muntah, dan disentri"
